2: 509203, 762701, 777149, 784109,
3: 12119, 20731, 21997, 28297,
4: 361, 919, 1114, 1444,
5: 13, 17, 37, 41,
6: 84687, 133946, 176602, 213410,
7: 457, 1291, 3199, 3313,
8: 14, 112, 116, 148,
9: 41, 49, 74, 121,
10: 334, 1585, 1882, 3340,
11: 5, 7, 17, 19,
12: 376, 742, 1288, 1364,
13: 29, 41, 69, 85,
14: 4, 11, 19, 26,
15: 622403, 1346041, 2742963,
16: 100, 172, 211, 295,
17: 49, 59, 65, 86,
18: 246, 664, 723, 837,
19: 9, 11, 29, 31,
20: 8, 13, 29, 34,
21: 45, 65, 133, 153,
22: 2738, 4461, 6209, 8902,
23: 5, 7, 17, 19,
24: 32336, 69691, 109054, 124031,
25: 105, 129, 211, 313,
26: 149, 334, 1892, 1987,
27: 13, 15, 41, 43,
28: 3769, 9078, 14472, 18211,
29: 4, 9, 11, 13,
30: 4928, 5331, 7968, 8958,
31: 145, 265, 443, 493,
32: 10, 23, 43, 56,
33: 545, 577, 764, 1633,
34: 6, 29, 41, 64,
35: 5, 7, 17, 19,
36: 33791, 79551, 89398, 116364,
37: 29, 77, 113, 163,
38: 13, 14, 25, 53,
39: 9, 11, 29, 31,
40: 25462, 29437, 38539, 52891,
41: 8, 13, 17, 25,
42: 15137, 28594, 45536, 62523,
43: 21, 23, 65, 67,
44: 4, 11, 19, 26,
45: 93, 137, 277, 321,
46: 928, 3754, 4078, 4636,
47: 5, 7, 13, 14,
48: 3226, 4208, 7029, 7965,
49: 81, 129, 229, 241,
50: 16, 35, 67, 86,
51: 25, 27, 77, 79,
52: 25015, 25969, 35299, 60103,
53: 13, 17, 37, 41,
54: 21, 34, 76, 89,
55: 13, 15, 41, 43,
56: 20, 37, 77, 94,
57: 144, 177, 233, 289,
58: 547, 919, 1408, 1957,
59: 4, 5, 7, 9,
60: 20558, 80885, 135175, 202704,
61: 125, 185, 373, 433,
62: 8, 13, 29, 34,
63: 857, 3113, 5559, 6351,
64: 14, 51, 79, 116,
65: 10, 23, 43, 56,
66:
67: 33, 35, 37, 101,
68: 22, 43, 47, 61,
69: 6, 9, 21, 29,
70: 853, 4048, 6176, 15690,
71: 5, 7, 17, 19,
72: 293, 2481, 3722, 4744,
73: 112, 177, 297, 329,
74: 4, 11, 19, 26,
75: 37, 39, 113, 115,
76: 34, 43, 111, 120,
77: 13, 14, 17, 25,
78: 90059, 192208, 294592, 384571,
79: 9, 11, 29, 31,
80: 253, 1037, 6148, 11765,
81: 74, 575, 657, 737,
82: 22326, 36438, 44572, 64905,
83: 5, 7, 8, 13,
84: 16, 69, 101, 154,
85: 173, 257, 517, 601,
86: 28, 59, 115, 146,
87: 21, 23, 65, 67,
88: 571, 862, 898, 961,
89: 4, 11, 17, 19,
90: 27, 64, 118, 155,
91: 45, 47, 137, 139,
92: 32, 61, 125, 154,
93: 189, 281, 565, 612,
94: 39, 56, 134, 151,
95: 5, 7, 17, 19,
96: 38995, 78086, 343864, 540968,
97: 43, 225, 321, 673,
98: 10, 23, 43, 56,
99: 9, 11, 29, 31,
100: 211, 235, 334, 750,
101: 13, 16, 17, 33,
102: 1635, 1793, 4267, 4447,
103: 25, 27, 77, 79,
104: 4, 6, 8, 11,
105: 297, 425, 529, 1273,
106: 13624, 14926, 16822, 19210,
107: 5, 7, 17, 19,
108: 13406, 26270, 43601, 103835,
109: 9, 21, 34, 45,
110: 38, 73, 149, 184,
111: 13, 15, 41, 43,
112: 1357, 3843, 4406, 5084,
113: 20, 37, 49, 65,
114: 24, 91, 139, 206,
115: 57, 59, 173, 175,
116: 14, 25, 53, 64,
117: 149, 221, 237, 353,
118: 50, 69, 169, 188,
119: 4, 5, 7, 9,
120:
121: 100, 163, 211, 232,
122: 14, 40, 83, 112,
123: 13, 61, 63, 154,
124: 92881, 104716, 124009, 170386,
125: 8, 13, 17, 29,
126: 480821, 2767077, 3925190,
127: 2593, 3251, 3353, 6451,
128: 44, 59, 85, 86,
129: 14, 51, 79, 116,
130: 2563, 5896, 11134, 26632,
131: 5, 7, 10, 17,
132: 20, 69, 113, 153,
133: 17, 233, 269, 273,
134: 4, 11, 19, 26,
135: 33, 35, 101, 103,
136: 22195, 47677, 90693, 151660,
137: 17, 22, 25, 47,
138: 1806, 4727, 5283, 6254,
139: 6, 9, 11, 13,
140: 46, 95, 187, 236,
141: 285, 425, 853, 993,
142: 12, 131, 155, 219,
143: 5, 7, 17, 19,
144: 59, 86, 204, 231,
145: 1169, 1313, 3505, 3649,
146: 8, 13, 29, 34,
147: 73, 75, 221, 223,
148: 1936, 5214, 5663, 6557,
149: 4, 9, 11, 13,
150: 49074, 95733, 228764, 539673,
151: 37, 39, 113, 115,
152: 16, 35, 67, 86,
153: 34, 43, 57, 65,
154: 61, 94, 216, 249,
155: 5, 7, 14, 17,
156:
157: 17, 69, 101, 217,
158: 52, 107, 211, 266,
159: 9, 11, 29, 31,
160: 22, 139, 183, 253,
161: 65, 97, 257, 289,
162: 3259, 4726, 9292, 16299,
163: 81, 83, 245, 247,
164: 4, 10, 11, 19,
165: 79, 333, 497, 646,
166: 4174, 9019, 11023, 15532,
167: 5, 7, 8, 13,
168: 4744, 14676, 15393, 20827,
169: 16, 33, 41, 49,
170: 20, 37, 77, 94,
171: 85, 87, 257, 259,
172: 235, 982, 1108, 1171,
173: 13, 17, 28, 37,
174: 6, 21, 29, 41,
175: 21, 23, 65, 67,
176: 58, 119, 235, 296,
177: 209, 268, 577, 1156,
178: 22, 79, 87, 334,
179: 4, 5, 7, 9,
180:
181: 25, 27, 29, 41,
182: 62, 121, 245, 304,
183: 45, 47, 137, 139,
184: 36, 149, 221, 334,
185: 17, 25, 32, 61,
