2: 78557, 157114, 271129, 271577,
3: 11047, 23789, 27221, 32549,
4: 419, 659, 794, 1466,
5: 7, 11, 31, 35,
6: 174308, 188299, 243417, 282001,
7: 209, 1463, 3305, 3533,
8: 47, 79, 83, 181,
9: 31, 39, 111, 119,
10: 989, 1121, 3653, 3662,
11: 5, 7, 17, 19,
12: 521, 597, 1143, 1509,
13: 15, 27, 47, 71,
14: 4, 11, 19, 26,
15: 673029, 2105431, 2692337, 4621459,
16: 38, 194, 524, 608,
17: 31, 47, 127, 143,
18: 398, 512, 571, 989,
19: 9, 11, 29, 31,
20: 8, 13, 29, 34,
21: 23, 43, 47, 111,
22: 2253, 4946, 6694, 8417,
23: 5, 7, 17, 19,
24: 30651, 66356, 77554, 84766,
25: 79, 103, 185, 287,
26: 221, 284, 1627, 1766,
27: 13, 15, 41, 43,
28: 4554, 8293, 13687, 18996,
29: 4, 7, 11, 19,
30: 867, 9859, 10386, 10570,
31: 239, 293, 521, 1025,
32: 10, 23, 43, 56,
33: 511, 543, 1599, 1631,
34: 6, 29, 41, 64,
35: 5, 7, 17, 19,
36: 1886, 11093, 67896, 123189,
37: 39, 75, 87, 191,
38: 14, 16, 25, 53,
39: 9, 11, 29, 31,
40: 47723, 67241, 68963, 133538,
41: 8, 13, 15, 23,
42: 13372, 30359, 47301, 60758,
43: 21, 23, 65, 67,
44: 4, 11, 19, 26,
45: 47, 91, 231, 275,
46: 881, 1592, 2519, 3104,
47: 5, 7, 8, 16,
48: 1219, 3403, 5531, 5613,
49: 31, 79, 179, 191,
50: 16, 35, 67, 86,
51: 25, 27, 77, 79,
52: 28674, 57398, 83262, 117396,
53: 7, 11, 31, 35,
54: 21, 34, 76, 89,
55: 13, 15, 41, 43,
56: 20, 37, 77, 94,
57: 47, 175, 231, 311,
58: 488, 1592, 7766, 8312,
59: 4, 5, 7, 9,
60: 16957, 84486, 138776, 199103,
61: 63, 123, 311, 371,
62: 8, 13, 29, 34,
63: 1589, 2381, 4827, 7083,
64: 14, 51, 79, 116,
65: 10, 23, 43, 56,
66:
67: 26, 33, 35, 101,
68: 22, 36, 47, 56,
69: 6, 15, 19, 27,
70: 11077, 20591, 22719, 25914,
71: 5, 7, 17, 19,
72: 731, 1313, 1461, 3724,
73: 47, 223, 255, 295,
74: 4, 11, 19, 26,
75: 37, 39, 113, 115,
76: 34, 43, 111, 120,
77: 7, 11, 14, 25,
78: 96144, 186123, 288507, 390656,
79: 9, 11, 29, 31,
80: 1039, 3181, 7438, 12211,
81: 575, 649, 655, 1167,
82: 19587, 29051, 37847, 46149,
83: 5, 7, 8, 13,
84: 16, 69, 101, 154,
85: 87, 171, 431, 515,
86: 28, 59, 115, 146,
87: 21, 23, 65, 67,
88: 26, 179, 311, 521,
89: 4, 11, 19, 23,
90: 27, 64, 118, 155,
91: 45, 47, 137, 139,
92: 32, 61, 125, 154,
93: 95, 187, 471, 563,
94: 39, 56, 134, 151,
95: 5, 7, 17, 19,
96: 68869, 353081, 426217, 427383,
97: 127, 223, 575, 671,
98: 10, 16, 23, 38,
99: 9, 11, 29, 31,
100: 62, 233, 332, 836,
101: 7, 11, 16, 31,
102: 293, 1342, 6060, 6240,
103: 25, 27, 77, 79,
104: 4, 6, 8, 11,
105: 319, 423, 1167, 1271,
106: 2387, 5480, 14819, 17207,
107: 5, 7, 17, 19,
108: 26270, 102677, 131564, 132872,
109: 19, 21, 23, 31,
110: 38, 73, 149, 184,
111: 13, 15, 41, 43,
112: 2261, 2939, 3502, 5988,
113: 20, 31, 37, 47,
114: 24, 91, 139, 206,
115: 57, 59, 173, 175,
116: 14, 25, 53, 64,
117: 119, 235, 327, 591,
118: 50, 69, 169, 188,
119: 4, 5, 7, 9,
120:
121: 27, 103, 110, 293,
122: 40, 47, 79, 83,
123: 55, 61, 63, 69,
124: 31001, 56531, 77381, 145994,
125: 7, 8, 11, 13,
126: 766700, 1835532, 2781934, 2986533,
127: 6343, 7909, 12923, 13701,
128: 44, 85, 98, 173,
129: 14, 51, 79, 116,
130: 1049, 2432, 7073, 9602,
131: 5, 7, 10, 17,
132: 13, 20, 113, 153,
133: 59, 135, 267, 671,
134: 4, 11, 19, 26,
135: 33, 35, 101, 103,
136: 29180, 90693, 151660, 243037,
137: 22, 23, 31, 47,
138: 2781, 3752, 4308, 7229,
139: 6, 9, 11, 13,
140: 46, 95, 187, 236,
141: 143, 283, 711, 851,
142: 12, 131, 155, 221,
143: 5, 7, 17, 19,
144: 59, 86, 204, 231,
145: 1023, 1167, 2159, 2367,
146: 8, 13, 29, 34,
147: 73, 75, 221, 223,
148: 3128, 4022, 4471, 7749,
149: 4, 7, 11, 19,
150: 49074, 95733, 539673, 611098,
151: 37, 39, 113, 115,
152: 16, 35, 67, 86,
153: 15, 34, 43, 55,
154: 61, 94, 216, 249,
155: 5, 7, 14, 17,
156:
157: 47, 59, 159, 191,
158: 52, 107, 122, 211,
159: 9, 11, 29, 31,
160: 22, 139, 183, 300,
161: 95, 127, 287, 319,
162: 6193, 6682, 7336, 14343,
163: 81, 83, 245, 247,
164: 4, 10, 11, 19,
165: 167, 331, 831, 995,
166: 335, 5510, 7349, 9854,
167: 5, 7, 8, 13,
168: 9244, 9658, 15638, 20357,
169: 16, 31, 39, 69,
170: 20, 37, 77, 94,
171: 85, 87, 257, 259,
172: 62, 108, 836, 1070,
173: 7, 11, 28, 31,
174: 6, 29, 41, 64,
175: 21, 23, 65, 67,
176: 58, 119, 235, 296,
177: 79, 447, 1247, 1423,
178: 569, 797, 953, 1031,
179: 4, 5, 7, 9,
180: 1679679,
181: 15, 27, 51, 64,
182: 23, 62, 121, 211,
183: 45, 47, 69, 101,
184: 36, 149, 221, 269,
185: 23, 31, 32, 61,
186: 67, 120, 254, 307,
187: 47, 83, 93, 95,
188: 8, 13, 29, 34,
189: 19, 31, 39, 56,
190: 2157728, 3146151, 3713039, 4352889,
191: 5, 7, 17, 19,
192: 7879, 8686, 17371, 19494,
193: 2687, 6015, 6207, 9343,
194: 4, 11, 14, 19,
195: 13, 15, 41, 43,
196: 16457, 78689, 86285, 95147,
197: 7, 10, 11, 23,
198: 4105, 19484, 21649, 23581,
199: 9, 11, 29, 31,
200: 47, 68, 103, 118,
201: 607, 807, 2223, 2423,
202: 57, 146, 260, 349,
203: 5, 7, 16, 17,
204: 81, 124, 286, 329,
205: 207, 411, 1031, 1235,
206: 22, 47, 91, 116,
207: 25, 27, 77, 79,
208: 56, 98, 153, 265,
209: 4, 6, 8, 11,
210:
211: 105, 107, 317, 319,
212: 70, 143, 283, 285,
213: 51, 215, 339, 427,
214: 44, 171, 236, 259,
215: 5, 7, 17, 19,
216: 92, 125, 309, 342,
217: 655, 863, 871, 919,
218: 74, 145, 293, 364,
219: 9, 11, 21, 23,
220: 50, 103, 118, 324,
221: 7, 11, 31, 35,
222: 333163, 352341, 389359, 410098,
223: 13, 15, 41, 43,
224: 4, 11, 19, 26,
225: 3391, 3615, 10623, 10847,
226: 2915, 11744, 12563, 15704,
227: 5, 7, 17, 19,
228: 1146, 7098, 8474, 25647,
229: 19, 24, 31, 47,
230: 8, 10, 13, 23,
231: 57, 59, 173, 175,
232: 2564, 18992, 27527, 46520,
233: 14, 23, 25, 31,
234: 46, 189, 281, 424,
235: 107, 117, 119, 255,
236: 80, 157, 317, 394,
237: 15, 27, 50, 67,
238: 34571, 36746, 42449, 48038,
239: 4, 5, 7, 9,
240: 1722187, 1933783, 2799214,
241: 175, 287, 527, 639,
242: 8, 16, 38, 47,
243: 121, 123, 285, 365,
244: 6, 29, 41, 64,
245: 7, 11, 31, 35,
246: 77, 170, 324, 417,
247: 61, 63, 185, 187,
248: 82, 167, 331, 416,
249: 31, 39, 111, 119,
250: 9788, 23885, 33539, 50450,
251: 5, 7, 8, 13,
252: 45, 116, 144, 208,
253: 255, 327, 507, 691,
254: 4, 11, 16, 19,
255: 245, 365, 493, 499,
256: 38, 194, 467, 524,
512: 18, 20, 37, 47,
1024: 81, 124, 286, 329,
2048: 334, 682, 857, 1367,
4096: 656, 1206, 2330, 2564,
8192: 83, 182, 211, 319,
16384: 59, 86, 114, 204,
32768: 10, 23, 40, 43,
65536: 38, 62, 194, 230,
